Data,Add,Del,Mod,Fix
Dec-12,12,3,7,6
Jan-13,6,1,0,7
Feb-13,33,13,9,47
Mar-13,36,18,13,72
Apr-13,39,8,31,29
May-13,0,0,2,0
Jun-13,10,8,7,10
Jul-13,4,5,5,26
Aug-13,8,5,7,15
Sep-13,7,3,15,18
Oct-13,3,3,11,13
Nov-13,8,7,14,15
Dec-13,8,7,10,12
Jan-14,4,1,8,10
Feb-14,29,6,38,45
Mar-14,8,8,22,16
Apr-14,9,6,5,21
May-14,23,22,22,46
Jun-14,19,12,19,12
Jul-14,54,36,78,72
Aug-14,75,45,52,61
Sep-14,41,38,39,42
Oct-14,46,18,13,26
Nov-14,27,10,25,42
Dec-14,13,26,22,34
Jan-15,20,11,25,32
Feb-15,19,24,19,43
Mar-15,65,19,39,56
Apr-15,65,91,74,71
May-15,88,73,76,69
Jun-15,137,57,104,92
Jul-15,182,85,101,144
Aug-15,344,106,147,179
Sep-15,281,128,158,275
Oct-15,198,155,199,346
Nov-15,184,79,113,275
Dec-15,282,102,84,238
Jan-16,310,131,186,284
Feb-16,172,96,171,319
Mar-16,142,53,126,188
Apr-16,124,58,84,185
May-16,173,156,137,446
Jun-16,120,83,100,292
Jul-16,110,77,88,197
Aug-16,97,59,80,147
Sep-16,76,34,74,148
Oct-16,119,75,112,254
Nov-16,116,57,81,154
Dec-16,174,44,64,171
Jan-17,129,31,68,204
Feb-17,142,58,96,187
Mar-17,147,61,96,197
Apr-17,196,143,107,263
May-17,155,91,143,401
Jun-17,81,26,73,188
Jul-17,91,47,50,143
Aug-17,178,68,67,240
Sep-17,87,28,48,267
Oct-17,46,23,70,123
Nov-17,86,37,93,166
Dec-17,129,50,62,155
Jan-18,41,12,77,140
Feb-18,19,4,23,32
Mar-18,12,11,13,58
Apr-18,13,9,25,75
May-18,11,5,14,51
Jun-18,19,7,30,81
Jul-18,12,10,51,60
Aug-18,10,4,10,25
Sep-18,10,4,9,19
Oct-18,16,9,31,83
Nov-18,6,6,18,31
Dec-18,4,0,9,17
Jan-19,9,4,12,24
Feb-19,21,12,21,38
Mar-19,17,9,29,29
Apr-19,3,0,3,8
Summary,5810,2931,4264,8607
